ybjO-rlmC	ybjOp4
ybjO-rlmC	ybjOp5
artJ	artJp
artPIQM	artPp
artPIQM	artPp1
artPIQM	artPp2
artPIQM	artPp3
ybjQ-amiD	ybjQp
ybjP	ybjPp
ybjS	ybjSp3
ltaE-ybjT	ltaEp
poxB	poxBp
hcr	hcrp3
hcp-hcr	hcpp
hcp-hcr	hcpp2
ybjE	ybjEp3
ybjE	ybjEp5
aqpZ	aqpZp3
aqpZ	aqpZp2
ybjX	ybjXp
macB	macBp1
macB	macBp2
cspD	cspDp
clpS	clpSp6
clpS	clpSp7
clpA	clpAp1
clpA	clpAp2
clpA	clpAp3
serW	serWp
infA	infAp2
infA	infAp1
aat	aatp5
cydC	cydCp5
cydDC	cydDp
trxB	trxBp
lrp	lrpp
ftsK	ftsKp2
ftsK	ftsKp1
ftsK	ftsKp3
lolA-rarA	lolAp
serS	serSp
dmsABC	dmsAp1
dmsABC	dmsAp2
ycaD	ycaDp1
ycaD	ycaDp6
ycaM	ycaMp2
ycaM	ycaMp4
ycaM	ycaMp5
ycaM	ycaMp3
ycaK	ycaKp3
ycaK	ycaKp4
ycaK	ycaKp5
pflA	pflAp8
pflB	pflBp1
pflB	pflBp2
pflB	pflBp3
pflB	pflBp4
pflB	pflBp5
focA-pflB	focAp1
focA-pflB	focAp2
focA-pflB	focAp3
serC	serCp
serC-aroA	serCp
ycaL	ycaLp1
ycaL	ycaLp8
ycaL	ycaLp9
ycaL	ycaLp6
cmk-rpsA	cmkp
rpsA-ihfB	rpsAp1
rpsA-ihfB	rpsAp3
ihfB	ihfBp
ycaI-msbA-lpxK-ycaQ	ycaIp6
ycaI-msbA-lpxK-ycaQ	ycaIp8
ycaI-msbA-lpxK-ycaQ	ycaIp7
ycaR-kdsB	ycaRp
ycbJ	ycbJp
smtA-mukFEB	smtAp
ycbB	ycbBp
ycbKL	ycbKp
aspC	aspCp
ompF	ompFp
asnS	asnSp
pncB	pncBp
pepN	pepNp
ssuB	ssuBp3
ssuEADCB	ssuEp
elfA	elfAp6
elfA	elfAp7
elfA	elfAp8
elfDCG-ycbUVF	elfDp1
pyrD	pyrDp
zapC	ycbWp6
zapC	ycbWp4
rlmL-uup	rlmLp
pqiAB	pqiAp2
pqiAB	pqiAp1
rmf	rmfp5
rmf	rmfp4
rmf	rmfp
fabA	fabAp
matP	matPp
ycbZ	ycbZp4
ompA	ompAp2
ompA	ompAp1
sulA	sulAp
yccS	yccSp3
yccS	yccSp2
yccFS	yccFp
helD	helDp
mgsA	mgsAp
yccT	yccTp5
yccT	yccTp
yccX	yccXp5
yccX	yccXp7
rlmI	rlmIp4
yccX	yccXp4
yccA	yccAp
serT	serTp
hyaABCDEF	hyaAp
appCBXA	appCp
appA	appAp
etk	etkp1
gfcD	gfcDp3
gfcA	gfcAp1
cspH	cspHp8
cspH	cspHp10
cspH	cspHp12
cspH	cspHp14
cspG	cspGp
cspH	cspHp15
cspH	cspHp9
cspH	cspHp13
ymcE-gnsA	ymcEp3
torS	torSp5
torT	torTp7
torT	torTp1
torT	torTp2
torR	torRp
torCAD	torCp
cbpAM	cbpAp2
cbpAM	cbpAp1
cbpAM	cbpAp4
cbpAM	cbpAp6
agp	agpp
wrbA-yccJ	wrbAp
rutG	rutGp2
rutABCDEFG	rutAp
rutR	rutRp2
rutR	rutRp
putA	putAp
putP	putPp1
putP	putPp2
putP	putPp3
putP	putPp4
putP	putPp5
efeU_1U_2	efeU_1p
efeOB	efeOp2
efeOB	efeOp1
phoH	phoHp1
phoH	phoHp2
pgaABCD	pgaAp
ycdT	ycdTp
insEF-4F-4	insFp5
insEF-4F-4	insFp4
ycdU	ycdUp9
ycdU	ycdUp1
ycdU	ycdUp11
serX	serXp
ghrA	ghrAp6
ycdZ	ycdZp4
csgG	csgGp1
csgDEFG	csgDp2
csgDEFG	csgDp1
csgBAC	csgBp
ymdA	ymdAp5
ymdA	ymdAp7
ymdA	ymdAp9
ymdB-clsC	ymdBp3
ymdB-clsC	ymdBp4
clsC	clsCp
opgGH	mdoGp2
opgGH	mdoGp1
msyB	msyBp
lpxL	lpxLp
yceA	yceAp
yceI	yceIp5
yceJI	yceJp
yceO	yceOp1
yceO	yceOp8
yceO	yceOp7
solA-yceO	solAp
bssS	bssSp
bssS	bssSp2
bssS	bssSp1
dinI	dinIp
pyrC	pyrCp
grxB	grxBp4
grxB	grxBp2
grxB	grxBp
rimJ	rimJp
yceH	yceHp4
yceH	yceHp2
yceM	yceMp4
flgN	flgNp1
flgMN	flgMp
flgAMN	flgAp
flgBCDEFGHIJ	flgBp
flgKL	flgKp
yceQ	yceQp6
rne	rnep4
rne	rnep1
rne	rnep2
rne	rnep3
sraB	psrDp
yceF	yceFp8
yceF	yceFp7
yceD-rpmF	yceDp1
yceF	yceFp9
yceF	yceFp6
yceD-rpmF	yceDp2
rpmF-plsX-fabHDG	rpmFp
fabHDG	fabHp
acpP-fabF	acpPp
acpP	acpPp
pabC-yceG-tmk-holB-ycfH	pabCp8
pabC-yceG-tmk-holB-ycfH	pabCp5
pabC-yceG-tmk-holB-ycfH	pabCp1
ptsG	ptsGp2
ptsG	ptsGp1
fhuE	fhuEp
hinT-ycfL-lpoB-thiK-nagZ-ycfP	hinTp1
hinT-ycfL-lpoB-thiK-nagZ-ycfP	hinTp2
hinT-ycfL-lpoB-thiK-nagZ-ycfP	hinTp3
ndh	ndhp
ycfJ	ycfJp3
comR	comRp
comR	comRp3
bhsA	bhsAp8
bhsA	bhsAp9
bhsA	bhsAp
ycfS	ycfSp
mfd	mfdp2
mfd	mfdp1
ycfT	ycfTp9
ycfT	ycfTp11
lolCDE	lolCp6
lolCDE	lolCp5
nagK-cobB	nagKp3
ycfZ	ycfZp6
ycfZ	ycfZp5
potD	potDp5
potD	potDp6
pepT	pepTp
ycfD	ycfDp4
ycfD	ycfDp5
phoQ	phoQp5
phoPQ	phoPp1
phoPQ	phoPp3
phoPQ	phoPp2
hflD-purB	hflDp
nudJ	nudJp6
icd	icdAp2
icd	icdAp1
ymfD	ymfDp6
ymfD	ymfDp5
ymfD	ymfDp7
lit	litp1
lit	litp8
lit	litp9
ymfI	ymfIp1
ymfJ	ymfJp10
ymfJ	ymfJp8
ymfJ	ymfJp6
ymfJ	ymfJp9
ymfTLMNROPQ-ycfK-ymfS	croEp4
ymfK	cohEp8
ymfTLMNROPQ-ycfK-ymfS	croEp5
ymfK	cohEp9
ymfK	cohEp10
tfaE	tfaEp6
tfaE	tfaEp1
pinE	pinEp1
pinE	pinEp3
mcrA	mcrAp7
mcrA	mcrAp10
mcrA	mcrAp8
mcrA	mcrAp9
iraM	iraMp
iraM	iraMp2
ycgX	ycgXp5
ycgX	ycgXp4
bluR	bluRp
bluF	bluFp
bluF	bluFp7
ycgZ-ymgA-ariR-ymgC	ycgZp
ycgG	ycgGp7
ymgF	ymgFp1
ymgF	ymgFp7
ymgF	ymgFp11
ymgF	ymgFp10
minE	minEp3
ycgJ	ycgJp5
ycgL	ycgLp
ycgN	ycgNp1
ycgN	ycgNp5
ycgN	ycgNp3
hlyE	hlyEp
umuDC	umuDp
dsbB	dsbBp6
nhaB	nhaBp7
fadR	fadRp
fadR	fadRp2
ycgB	ycgBp
dadAX	dadAp1
dadAX	dadAp2
dadAX	dadAp3
cvrA	cvrAp6
emtA	emtAp4
ldcA	ldcAp9
ymgE	ymgEp7
ycgR	ycgRp
ymgE	ymgEp6
ycgY	ycgYp1
ycgY	ycgYp6
treA	treAp
dhaKLM	dhaKp
dhaR	dhaRp
ycgV	ycgVp9
ycgV	ycgVp10
ychF	ychFp
pth-ychF	pthp
ychH	ychHp
prs	prsp
lolB-ispE-prs	lolBp
hemA	hemAp2
hemA-prfA-prmC	hemAp1
ychQA-kdsA	ychQp
kdsA	kdsAp
rdlA	rdlAp5
ldrA	ldrAp8
rdlB	rdlBp4
ldrB	ldrBp5
rdlC	rdlCp3
ldrC	ldrCp4
chaC	chaCp
ychN	ychNp4
ychO	ychOp
narXL	narXp
narK	narKp2
narK	narKp1
narGHJI	narGp
tpr	tprp1
tyrTV-tpr	tyrTp
purU	purUp3
purU	purUp5
purU	purUp4
rssAB	rssAp
ychJ	ychJp
rssB	rssBp
galU	galUp
hns	hnsp
tdk	tdkp8
tdk	tdkp1
adhE	adhEp2
adhE	adhEp1
ychE	ychEp8
oppABCDF	oppAp
yciU	yciUp6
yciU	yciUp5
yciU	yciUp4
clsA-yciU	clsAp
kch	kchp
yciI	yciIp
tonB	tonBp
yciA	yciAp8
yciB	yciBp3
yciCB	yciCp
ompW	ompWp
yciE	yciEp6
yciE	yciEp7
yciE	yciEp
yciE	yciEp2
yciGFE	yciGp
yciG	yciGp
trpA	trpAp8
trpA	trpAp4
trpA	trpAp5
trpA	trpAp7
trpCBA	trpCp
trpLEDCBA	trpLp
trpL	trpLp
yciVOQ	yciVp
sohB	sohBp1
sohB	sohBp2
yciN	yciNp10
yciN	yciNp8
yciN	yciNp9
topA	topAp5
yciN	yciNp11
yciN	yciNp5
topA	topAp4
topA	topAp3
topA	topAp2
topA	topAp1
cysB	cysBp
ymiA-yciX	ymiAp7
ymiA-yciX	ymiAp6
acnA	acnAp1
acnA	acnAp2
acnA	acnAp3
pgpB	pgpBp6
pgpB	pgpBp9
pgpB	pgpBp8
ribA	ribAp1
pgpB	pgpBp5
ribA	ribAp2
pgpB	pgpBp4
pgpB	pgpBp7
yciSM-pyrF-yciH	yciSp
pyrF-yciH	pyrFp
osmB	osmBp2
osmB	osmBp1
yciT	yciTp
yciT	yciTp1
yciZT	yciZp
gmr	gmrp
rnb	rnbp2
rnb	rnbp1
yciW	yciWp4
fabI	fabIp1
ycjD	ycjDp4
ycjD	ycjDp5
sapF	sapFp5
ymjA	ymjAp5
puuP	puuPp
puuAP	puuAp
puuDRCBE	puuDp
puuCBE	puuCp
pspF	pspFp2
pspF	pspFp1
pspABCDE	pspAp
pspF	pspFp3
ycjMNOPQRSTUV-ymjB	ycjMp4
ycjMNOPQRSTUV-ymjB	ycjMp3
ycjW	ycjWp2
ycjXF-tyrR	ycjXp
tyrR	tyrRp
tpx	tpxp
ycjG	ycjGp
mpaA	mpaAp2
mpaA	mpaAp4
pgrR	ycjZp7
ycjY	ycjYp6
ycjY-ymjDC-mpaA	ycjYp6
mppA	mppAp5
mppA	mppAp13
mppA	mppAp9
mppA	mppAp4
insH-4	insHp7
ynaI	ynaIp
uspE	uspEp
fnr	fnrp
ogt	ogtp
mcaS	mcaSp
smrA	smrAp1
ydaN	ydaNp
fnrS	fnrSp
C0343-dbpA	dbpAp2
ttcA	ttcAp5
intR	intRp4
racC	racCp4
racC	racCp6
ydaE	ydaEp5
ydaSTUVW-rzpR	ydaSp3
racR	racRp5
racR	racRp3
ydaSTUVW-rzpR	ydaSp4
